event,mouse_speed,x,y,time_of_day,timestamp,user_id,session_id
move,0.0,525,984,0.384,1750045381.648,user1,s2
move,508.1387,523,970,0.384,1750045381.663,user1,s2
move,134.9519,523,969,0.384,1750045381.671,user1,s2
move,345.7509,523,966,0.384,1750045381.68,user1,s2
move,133.5681,523,965,0.384,1750045381.687,user1,s2
move,250.833,523,963,0.384,1750045381.695,user1,s2
move,250.2344,523,961,0.384,1750045381.703,user1,s2
move,0.0,523,961,0.384,1750045381.711,user1,s2
move,24.5055,523,960,0.384,1750045381.752,user1,s2
move,0.0,523,960,0.384,1750045381.776,user1,s2
move,125.364,523,959,0.384,1750045381.784,user1,s2
move,0.0,523,959,0.384,1750045381.831,user1,s2
move,7.4404,524,956,0.3841,1750045382.256,user1,s2
move,994.7004,572,885,0.3841,1750045382.319,user1,s2
move,449.4006,583,866,0.3841,1750045382.344,user1,s2
move,465.4595,585,863,0.3841,1750045382.351,user1,s2
move,853.2082,588,857,0.3841,1750045382.359,user1,s2
move,346.7377,590,855,0.3841,1750045382.367,user1,s2
move,762.97,591,849,0.3841,1750045382.375,user1,s2
move,315.3116,593,847,0.3841,1750045382.384,user1,s2
move,149.3964,593,846,0.3841,1750045382.391,user1,s2
move,239.0462,593,844,0.3841,1750045382.399,user1,s2
move,132.7984,594,844,0.3841,1750045382.407,user1,s2
move,64.1468,594,843,0.3841,1750045382.423,user1,s2
move,160.6838,595,842,0.3841,1750045382.431,user1,s2
move,134.1748,596,842,0.3841,1750045382.439,user1,s2
move,263.9255,596,840,0.3841,1750045382.446,user1,s2
move,273.409,597,838,0.3841,1750045382.455,user1,s2
move,175.8149,598,837,0.3841,1750045382.463,user1,s2
move,387.0762,599,834,0.3841,1750045382.471,user1,s2
move,534.9926,602,831,0.3841,1750045382.479,user1,s2
move,560.6785,604,827,0.3841,1750045382.487,user1,s2
move,396.4121,605,824,0.3841,1750045382.495,user1,s2
move,514.6372,607,820,0.3841,1750045382.503,user1,s2
move,593.1037,609,816,0.3841,1750045382.511,user1,s2
move,799.9007,615,803,0.3841,1750045382.526,user1,s2
move,527.8004,619,790,0.3841,1750045382.543,user1,s2
move,956.1156,622,783,0.3841,1750045382.551,user1,s2
move,966.1598,623,776,0.3841,1750045382.559,user1,s2
move,242.0605,660,642,0.3841,1750045382.639,user1,s2
move,4.0988,660,640,0.3841,1750045383.127,user1,s2
move,0.0,660,640,0.3841,1750045383.135,user1,s2
move,125.3828,660,639,0.3841,1750045383.143,user1,s2
move,132.7984,661,639,0.3841,1750045383.151,user1,s2
move,59.8101,661,638,0.3841,1750045383.168,user1,s2
move,354.6678,663,636,0.3841,1750045383.176,user1,s2
move,934.5727,666,630,0.3841,1750045383.183,user1,s2
move,702.9428,669,625,0.3841,1750045383.191,user1,s2
move,614.1541,672,621,0.3841,1750045383.199,user1,s2
move,902.138,856,447,0.3841,1750045383.319,user1,s2
move,436.7589,858,444,0.3841,1750045383.327,user1,s2
move,167.4801,859,443,0.3841,1750045383.336,user1,s2
move,0.0,859,443,0.3841,1750045383.351,user1,s2
move,0.0,859,443,0.3841,1750045383.375,user1,s2
move,121.6834,864,440,0.3841,1750045383.423,user1,s2
move,752.4346,909,406,0.3841,1750045383.463,user1,s2
move,975.6541,942,370,0.3841,1750045383.503,user1,s2
move,624.6915,945,366,0.3841,1750045383.511,user1,s2
move,354.223,947,364,0.3841,1750045383.519,user1,s2
move,0.0,947,364,0.3841,1750045383.527,user1,s2
move,121.1421,947,363,0.3841,1750045383.536,user1,s2
move,134.7265,947,362,0.3841,1750045383.543,user1,s2
move,125.3978,948,362,0.3841,1750045383.551,user1,s2
move,115.8968,948,361,0.3841,1750045383.56,user1,s2
move,499.6463,935,346,0.3841,1750045383.599,user1,s2
move,687.2883,634,90,0.3841,1750045383.663,user1,s2
move,743.2544,631,85,0.3841,1750045383.671,user1,s2
move,125.4015,630,85,0.3841,1750045383.679,user1,s2
move,247.058,630,83,0.3841,1750045383.687,user1,s2
move,276.937,628,82,0.3841,1750045383.695,user1,s2
move,0.0,628,82,0.3841,1750045383.703,user1,s2
move,61.622,627,82,0.3841,1750045383.719,user1,s2
move,9.6764,626,82,0.3841,1750045383.823,user1,s2
move,177.5718,623,82,0.3841,1750045383.84,user1,s2
move,507.8678,620,84,0.3841,1750045383.847,user1,s2
move,274.0721,618,85,0.3841,1750045383.855,user1,s2
move,0.0,618,85,0.3841,1750045383.871,user1,s2
move,112.6875,615,87,0.3841,1750045383.903,user1,s2
move,915.7145,600,93,0.3841,1750045383.919,user1,s2
move,940.9075,593,96,0.3841,1750045383.927,user1,s2
move,914.0116,587,100,0.3841,1750045383.935,user1,s2
move,424.4514,577,106,0.3841,1750045383.951,user1,s2
move,814.6031,572,110,0.3841,1750045383.959,user1,s2
move,382.0065,569,110,0.3841,1750045383.967,user1,s2
move,446.2049,567,113,0.3841,1750045383.975,user1,s2
move,444.1997,564,115,0.3841,1750045383.983,user1,s2
move,179.4639,563,116,0.3841,1750045383.991,user1,s2
move,359.9297,561,118,0.3841,1750045383.999,user1,s2
move,0.0,561,118,0.3841,1750045384.031,user1,s2
move,13.8358,560,118,0.3841,1750045384.103,user1,s2
move,475.0959,558,121,0.3841,1750045384.111,user1,s2
move,601.5409,554,124,0.3841,1750045384.119,user1,s2
