event,mouse_speed,x,y,time_of_day,timestamp,user_id,session_id
move,0.0,861,935,0.8246,1750083443.909,user1,s5
move,498.8053,1343,1085,0.8246,1750083444.005,user1,s5
move,378.5359,1343,1082,0.8246,1750083444.013,user1,s5
move,256.4147,1343,1080,0.8246,1750083444.021,user1,s5
move,0.0,1343,1080,0.8246,1750083444.029,user1,s5
move,179.9485,1344,1079,0.8246,1750083444.036,user1,s5
move,164.2932,1345,1080,0.8246,1750083444.045,user1,s5
move,137.966,1346,1080,0.8246,1750083444.052,user1,s5
move,171.832,1347,1079,0.8246,1750083444.061,user1,s5
move,176.4109,1348,1080,0.8246,1750083444.069,user1,s5
move,121.4895,1349,1080,0.8246,1750083444.077,user1,s5
move,0.0,1349,1080,0.8246,1750083444.085,user1,s5
move,131.2853,1349,1081,0.8246,1750083444.092,user1,s5
move,161.9472,1348,1082,0.8246,1750083444.101,user1,s5
move,273.8321,1347,1080,0.8246,1750083444.109,user1,s5
move,182.0862,1346,1081,0.8246,1750083444.117,user1,s5
move,129.6619,1345,1081,0.8246,1750083444.125,user1,s5
move,122.4936,1345,1080,0.8246,1750083444.133,user1,s5
move,0.0,1345,1080,0.8246,1750083444.141,user1,s5
move,0.0,1345,1080,0.8246,1750083444.165,user1,s5
move,35.4418,1344,1079,0.8246,1750083444.205,user1,s5
move,130.4077,1344,1078,0.8246,1750083444.212,user1,s5
move,160.1891,1343,1077,0.8246,1750083444.221,user1,s5
move,749.7268,1341,1072,0.8246,1750083444.228,user1,s5
move,632.2817,1269,997,0.8246,1750083444.308,user1,s5
move,555.5637,1265,995,0.8246,1750083444.317,user1,s5
move,625.1198,1261,992,0.8246,1750083444.325,user1,s5
move,416.3417,1258,990,0.8246,1750083444.333,user1,s5
move,509.1732,1254,989,0.8246,1750083444.341,user1,s5
move,904.8206,1247,988,0.8246,1750083444.349,user1,s5
move,806.353,1164,977,0.8246,1750083444.405,user1,s5
move,492.1304,1160,977,0.8246,1750083444.413,user1,s5
move,126.1331,1159,977,0.8246,1750083444.421,user1,s5
move,248.6103,1157,977,0.8246,1750083444.429,user1,s5
move,134.8694,1156,977,0.8246,1750083444.437,user1,s5
move,130.9206,1156,976,0.8246,1750083444.444,user1,s5
move,0.0,1156,976,0.8246,1750083444.485,user1,s5
move,0.0,1156,976,0.8246,1750083444.621,user1,s5
move,516.095,1156,980,0.8246,1750083444.629,user1,s5
move,631.064,1156,985,0.8246,1750083444.637,user1,s5
move,707.2827,1156,991,0.8246,1750083444.645,user1,s5
move,434.999,1155,994,0.8246,1750083444.653,user1,s5
move,557.2306,1153,998,0.8246,1750083444.661,user1,s5
