event,mouse_speed,x,y,time_of_day,timestamp,user_id,session_id
move,0.0,524,861,0.9722,1749923402.755,user1,s1
move,369.0112,731,862,0.9722,1749923402.835,user1,s1
move,377.1856,734,862,0.9722,1749923402.843,user1,s1
move,370.0639,737,862,0.9722,1749923402.851,user1,s1
move,280.9102,739,861,0.9722,1749923402.859,user1,s1
move,125.593,740,861,0.9722,1749923402.867,user1,s1
move,276.0242,742,860,0.9722,1749923402.875,user1,s1
move,125.9626,743,860,0.9722,1749923402.883,user1,s1
move,175.5235,744,859,0.9722,1749923402.891,user1,s1
move,517.9728,748,858,0.9722,1749923402.899,user1,s1
move,808.1619,754,856,0.9722,1749923402.907,user1,s1
move,504.6709,758,855,0.9722,1749923402.915,user1,s1
move,283.663,760,854,0.9722,1749923402.923,user1,s1
move,512.736,764,853,0.9722,1749923402.931,user1,s1
move,388.9263,767,852,0.9722,1749923402.939,user1,s1
move,282.8588,769,851,0.9722,1749923402.947,user1,s1
move,362.1602,771,849,0.9722,1749923402.955,user1,s1
move,273.4967,773,848,0.9722,1749923402.963,user1,s1
move,248.8906,775,848,0.9722,1749923402.971,user1,s1
move,576.9408,779,846,0.9722,1749923402.979,user1,s1
move,169.5869,780,845,0.9722,1749923402.987,user1,s1
move,466.0619,783,843,0.9722,1749923402.995,user1,s1
move,268.2095,785,842,0.9723,1749923403.003,user1,s1
move,409.4448,788,841,0.9723,1749923403.011,user1,s1
move,443.6263,791,839,0.9723,1749923403.019,user1,s1
move,178.3899,792,838,0.9723,1749923403.027,user1,s1
move,248.8758,794,838,0.9723,1749923403.035,user1,s1
move,439.6412,797,836,0.9723,1749923403.043,user1,s1
move,283.3459,799,835,0.9723,1749923403.051,user1,s1
move,811.8721,805,833,0.9723,1749923403.059,user1,s1
move,880.2247,812,831,0.9723,1749923403.067,user1,s1
move,898.5702,835,827,0.9723,1749923403.091,user1,s1
move,887.5717,842,826,0.9723,1749923403.099,user1,s1
move,896.0062,849,824,0.9723,1749923403.107,user1,s1
move,254.0155,851,824,0.9723,1749923403.115,user1,s1
move,256.5402,853,824,0.9723,1749923403.123,user1,s1
move,122.0836,854,824,0.9723,1749923403.131,user1,s1
move,0.0,854,824,0.9723,1749923403.139,user1,s1
move,8.9223,855,824,0.9723,1749923403.251,user1,s1
move,967.9282,1147,469,0.9723,1749923403.483,user1,s1
move,452.8185,1149,466,0.9723,1749923403.491,user1,s1
move,0.0,1162,446,0.9723,1749923403.523,user1,s1
move,126.9924,1162,445,0.9723,1749923403.531,user1,s1
move,274.8754,1163,443,0.9723,1749923403.539,user1,s1
move,906.4326,1171,430,0.9723,1749923403.555,user1,s1
move,711.2425,1213,391,0.9723,1749923403.587,user1,s1
move,409.5333,1214,388,0.9723,1749923403.595,user1,s1
move,555.4542,1224,379,0.9723,1749923403.619,user1,s1
move,690.6292,1251,352,0.9723,1749923403.643,user1,s1
move,446.4552,1453,172,0.9723,1749923403.723,user1,s1
move,710.5464,1457,168,0.9723,1749923403.731,user1,s1
move,275.7644,1458,166,0.9723,1749923403.739,user1,s1
move,0.0,1458,166,0.9723,1749923403.747,user1,s1
move,29.3154,1462,166,0.9723,1749923403.883,user1,s1
move,862.9241,1484,166,0.9723,1749923403.899,user1,s1
move,614.55,1513,171,0.9723,1749923403.923,user1,s1
move,965.5674,1530,171,0.9723,1749923403.939,user1,s1
move,744.8375,1577,156,0.9723,1749923403.971,user1,s1
move,368.73,1580,156,0.9723,1749923403.979,user1,s1
move,630.0403,1585,156,0.9723,1749923403.987,user1,s1
move,876.762,1592,156,0.9723,1749923403.995,user1,s1
move,474.6567,1627,144,0.9723,1749923404.019,user1,s1
move,862.1572,1645,143,0.9723,1749923404.035,user1,s1
move,904.0128,1651,139,0.9723,1749923404.043,user1,s1
move,174.609,1660,134,0.9723,1749923404.059,user1,s1
move,248.2498,1662,134,0.9723,1749923404.067,user1,s1
move,473.6229,1664,131,0.9723,1749923404.075,user1,s1
move,275.1496,1666,130,0.9723,1749923404.083,user1,s1
move,41.4244,1666,129,0.9723,1749923404.107,user1,s1
move,0.0,1666,129,0.9723,1749923404.115,user1,s1
move,248.169,1666,127,0.9723,1749923404.123,user1,s1
move,126.3459,1666,126,0.9723,1749923404.131,user1,s1
move,0.0,1666,126,0.9723,1749923404.179,user1,s1
move,62.1885,1666,125,0.9723,1749923404.195,user1,s1
move,58.5136,1667,124,0.9723,1749923404.219,user1,s1
move,259.9184,1667,122,0.9723,1749923404.227,user1,s1
move,540.2661,1669,118,0.9723,1749923404.235,user1,s1
move,519.5133,1670,114,0.9723,1749923404.243,user1,s1
move,498.7875,1670,110,0.9723,1749923404.251,user1,s1
move,62.7054,1670,109,0.9723,1749923404.267,user1,s1
move,87.8566,1672,107,0.9723,1749923404.299,user1,s1
move,922.2893,1743,54,0.9723,1749923404.363,user1,s1
move,710.6103,1747,50,0.9723,1749923404.371,user1,s1
move,792.0195,1753,48,0.9723,1749923404.379,user1,s1
move,528.4156,1756,45,0.9723,1749923404.387,user1,s1
move,513.4819,1760,44,0.9723,1749923404.395,user1,s1
move,354.53,1762,42,0.9723,1749923404.403,user1,s1
move,434.126,1765,40,0.9723,1749923404.411,user1,s1
move,294.0323,1767,39,0.9723,1749923404.419,user1,s1
move,552.6664,1771,37,0.9723,1749923404.427,user1,s1
move,439.4879,1774,35,0.9723,1749923404.435,user1,s1
move,293.2692,1776,34,0.9723,1749923404.442,user1,s1
move,273.3692,1778,33,0.9723,1749923404.451,user1,s1
move,388.4252,1781,32,0.9723,1749923404.459,user1,s1
move,395.5373,1784,31,0.9723,1749923404.467,user1,s1
move,251.2793,1785,29,0.9723,1749923404.476,user1,s1
move,636.2356,1789,27,0.9723,1749923404.483,user1,s1
move,434.3379,1792,25,0.9723,1749923404.491,user1,s1
move,295.3286,1794,24,0.9723,1749923404.499,user1,s1
move,428.9298,1797,22,0.9723,1749923404.507,user1,s1
move,186.2309,1798,21,0.9723,1749923404.515,user1,s1
move,121.6763,1799,21,0.9723,1749923404.523,user1,s1
move,179.8067,1800,20,0.9723,1749923404.531,user1,s1
move,126.1559,1801,20,0.9723,1749923404.539,user1,s1
move,61.5922,1801,19,0.9723,1749923404.555,user1,s1
click,,1801,19,0.9723,1749923404.843,user1,s1
move,0.0,1801,19,0.9723,1749923405.203,user1,s1
move,360.2904,1799,21,0.9723,1749923405.211,user1,s1
move,443.1973,1796,23,0.9723,1749923405.219,user1,s1
move,750.4844,1791,26,0.9723,1749923405.226,user1,s1
move,443.7175,1788,28,0.9723,1749923405.235,user1,s1
move,738.7864,1783,31,0.9723,1749923405.242,user1,s1
move,876.9384,1776,33,0.9723,1749923405.251,user1,s1
move,512.584,1772,34,0.9723,1749923405.259,user1,s1
move,842.9326,1766,37,0.9723,1749923405.267,user1,s1
move,810.3839,1760,39,0.9723,1749923405.275,user1,s1
move,922.1174,1753,41,0.9723,1749923405.282,user1,s1
move,631.5508,1748,42,0.9723,1749923405.291,user1,s1
move,560.3267,1744,44,0.9723,1749923405.299,user1,s1
move,895.9788,1738,48,0.9723,1749923405.307,user1,s1
move,918.1736,1717,59,0.9723,1749923405.331,user1,s1
move,950.8787,1468,194,0.9723,1749923405.475,user1,s1
move,906.4595,1426,206,0.9723,1749923405.515,user1,s1
move,798.9852,1411,211,0.9723,1749923405.53,user1,s1
move,897.27,1404,213,0.9723,1749923405.539,user1,s1
move,835.0521,1398,216,0.9723,1749923405.547,user1,s1
move,729.3566,1393,219,0.9723,1749923405.555,user1,s1
move,798.1678,1387,221,0.9723,1749923405.563,user1,s1
move,543.9794,1383,223,0.9723,1749923405.571,user1,s1
move,181.3675,1379,226,0.9723,1749923405.598,user1,s1
move,442.1994,1365,233,0.9723,1749923405.611,user1,s1
move,694.8355,1360,235,0.9723,1749923405.619,user1,s1
move,895.3953,1354,239,0.9723,1749923405.627,user1,s1
move,892.7317,907,339,0.9723,1749923405.867,user1,s1
move,758.6593,901,340,0.9723,1749923405.875,user1,s1
move,575.0658,897,342,0.9723,1749923405.883,user1,s1
move,803.2432,816,366,0.9723,1749923405.955,user1,s1
move,561.4504,812,368,0.9723,1749923405.963,user1,s1
move,510.8578,808,369,0.9723,1749923405.971,user1,s1
move,566.1957,804,371,0.9723,1749923405.979,user1,s1
move,280.063,802,372,0.9723,1749923405.987,user1,s1
move,540.9828,798,374,0.9723,1749923405.995,user1,s1
move,289.5569,796,375,0.9723,1749923406.003,user1,s1
move,275.392,794,376,0.9723,1749923406.011,user1,s1
move,283.8433,792,377,0.9723,1749923406.019,user1,s1
move,284.8433,790,378,0.9723,1749923406.027,user1,s1
move,277.0843,788,379,0.9723,1749923406.035,user1,s1
