event,mouse_speed,x,y,time_of_day,timestamp,user_id,session_id
move,0.0,575,1017,0.3851,1750045474.327,user1,s3
move,628.9691,576,1012,0.3851,1750045474.335,user1,s3
move,416.3466,577,1009,0.3851,1750045474.343,user1,s3
move,250.848,577,1007,0.3851,1750045474.351,user1,s3
move,177.4188,578,1006,0.3851,1750045474.359,user1,s3
move,280.3392,579,1004,0.3851,1750045474.367,user1,s3
move,247.4297,579,1002,0.3851,1750045474.375,user1,s3
move,275.9835,580,1000,0.3851,1750045474.383,user1,s3
move,381.8718,581,997,0.3851,1750045474.391,user1,s3
move,509.1582,582,993,0.3851,1750045474.399,user1,s3
move,451.8713,584,990,0.3851,1750045474.407,user1,s3
move,509.3111,584,986,0.3851,1750045474.415,user1,s3
move,174.7221,585,985,0.3851,1750045474.423,user1,s3
move,254.7251,585,983,0.3851,1750045474.431,user1,s3
move,272.7649,586,981,0.3851,1750045474.439,user1,s3
move,125.8266,586,980,0.3851,1750045474.447,user1,s3
move,184.1267,587,979,0.3851,1750045474.455,user1,s3
move,126.3839,587,978,0.3851,1750045474.463,user1,s3
move,0.0,587,978,0.3851,1750045474.471,user1,s3
move,276.2762,588,976,0.3851,1750045474.479,user1,s3
move,280.1634,589,974,0.3851,1750045474.487,user1,s3
move,122.315,589,973,0.3851,1750045474.495,user1,s3
move,386.9181,590,970,0.3851,1750045474.503,user1,s3
move,375.4188,590,967,0.3851,1750045474.511,user1,s3
move,177.5622,591,966,0.3851,1750045474.519,user1,s3
move,280.2387,592,964,0.3851,1750045474.527,user1,s3
move,271.9424,593,962,0.3851,1750045474.535,user1,s3
move,488.0929,593,958,0.3851,1750045474.544,user1,s3
move,315.3899,594,956,0.3851,1750045474.551,user1,s3
move,357.2001,595,953,0.3851,1750045474.56,user1,s3
move,517.2911,596,949,0.3851,1750045474.568,user1,s3
move,396.3055,597,946,0.3851,1750045474.576,user1,s3
move,694.4212,597,941,0.3851,1750045474.583,user1,s3
move,832.8384,598,934,0.3851,1750045474.591,user1,s3
move,904.2851,601,919,0.3851,1750045474.607,user1,s3
move,759.5176,622,804,0.3851,1750045474.687,user1,s3
move,417.0532,622,801,0.3851,1750045474.695,user1,s3
move,721.4727,624,795,0.3851,1750045474.703,user1,s3
move,419.5203,625,792,0.3851,1750045474.711,user1,s3
move,794.9864,627,786,0.3851,1750045474.719,user1,s3
move,842.0848,627,779,0.3851,1750045474.727,user1,s3
move,976.0891,629,772,0.3851,1750045474.735,user1,s3
move,974.2018,629,764,0.3851,1750045474.743,user1,s3
move,996.6789,1072,339,0.3851,1750045475.023,user1,s3
move,336.4611,1156,291,0.3851,1750045475.095,user1,s3
move,512.63,1159,288,0.3851,1750045475.104,user1,s3
move,500.4619,1170,280,0.3851,1750045475.119,user1,s3
move,967.0139,1176,275,0.3851,1750045475.127,user1,s3
move,623.1879,1180,272,0.3851,1750045475.135,user1,s3
move,438.7611,1201,258,0.3851,1750045475.159,user1,s3
move,631.4631,1205,255,0.3851,1750045475.167,user1,s3
move,305.2183,1207,254,0.3851,1750045475.175,user1,s3
move,528.5883,1210,251,0.3851,1750045475.183,user1,s3
move,162.9438,1211,250,0.3851,1750045475.191,user1,s3
