event,mouse_speed,x,y,time_of_day,timestamp,user_id,session_id
move,0.0,532,856,0.3809,1750045110.32,user1,s4
move,140.9755,532,857,0.3809,1750045110.327,user1,s4
move,0.0,532,857,0.3809,1750045110.336,user1,s4
move,131.4788,532,858,0.3809,1750045110.343,user1,s4
move,64.5983,532,859,0.3809,1750045110.359,user1,s4
move,37.3741,526,859,0.3809,1750045110.519,user1,s4
move,666.9058,371,774,0.3809,1750045110.591,user1,s4
move,286.8645,370,772,0.3809,1750045110.599,user1,s4
move,125.424,370,771,0.3809,1750045110.607,user1,s4
move,280.4147,369,769,0.3809,1750045110.615,user1,s4
move,476.436,369,765,0.3809,1750045110.623,user1,s4
move,243.4656,369,763,0.3809,1750045110.632,user1,s4
move,250.9981,369,761,0.3809,1750045110.639,user1,s4
move,262.7105,369,759,0.3809,1750045110.647,user1,s4
move,116.8916,369,758,0.3809,1750045110.656,user1,s4
move,378.2173,369,755,0.3809,1750045110.664,user1,s4
move,363.6785,369,752,0.3809,1750045110.672,user1,s4
move,138.875,369,751,0.3809,1750045110.679,user1,s4
move,225.2096,369,749,0.3809,1750045110.688,user1,s4
move,20.8279,369,748,0.3809,1750045110.736,user1,s4
move,0.0,369,748,0.3809,1750045110.784,user1,s4
move,17.8315,369,747,0.3809,1750045110.84,user1,s4
move,291.3198,370,745,0.3809,1750045110.847,user1,s4
move,448.2284,372,742,0.3809,1750045110.855,user1,s4
move,402.6335,373,739,0.3809,1750045110.863,user1,s4
move,163.9164,374,738,0.3809,1750045110.872,user1,s4
move,125.5103,374,737,0.3809,1750045110.88,user1,s4
move,136.4401,374,736,0.3809,1750045110.887,user1,s4
move,127.4283,374,735,0.3809,1750045110.895,user1,s4
move,124.169,375,735,0.3809,1750045110.903,user1,s4
move,0.0,375,735,0.3809,1750045110.912,user1,s4
move,42.5446,375,734,0.3809,1750045110.935,user1,s4
move,121.6798,376,734,0.3809,1750045110.944,user1,s4
move,42.1542,376,733,0.3809,1750045110.967,user1,s4
move,61.3875,377,733,0.3809,1750045110.984,user1,s4
move,24.92,377,732,0.3809,1750045111.024,user1,s4
move,0.0,377,732,0.3809,1750045111.043,user1,s4
move,200.6844,377,731,0.3809,1750045111.048,user1,s4
move,175.0005,378,730,0.3809,1750045111.056,user1,s4
move,291.1675,379,727,0.3809,1750045111.066,user1,s4
move,313.8435,380,726,0.3809,1750045111.071,user1,s4
move,265.0937,381,724,0.3809,1750045111.079,user1,s4
move,355.774,383,722,0.3809,1750045111.087,user1,s4
move,445.1018,386,720,0.3809,1750045111.095,user1,s4
move,382.5631,388,718,0.3809,1750045111.103,user1,s4
move,352.3511,389,715,0.3809,1750045111.112,user1,s4
move,452.2643,390,712,0.3809,1750045111.119,user1,s4
move,315.8405,392,710,0.3809,1750045111.128,user1,s4
move,557.084,393,706,0.3809,1750045111.135,user1,s4
move,445.7578,395,703,0.3809,1750045111.143,user1,s4
move,605.9624,396,698,0.3809,1750045111.152,user1,s4
move,451.588,398,695,0.3809,1750045111.16,user1,s4
move,639.903,399,690,0.3809,1750045111.168,user1,s4
move,823.1841,401,684,0.3809,1750045111.175,user1,s4
move,529.9895,402,680,0.3809,1750045111.183,user1,s4
move,356.5855,403,677,0.3809,1750045111.192,user1,s4
move,894.5205,406,671,0.3809,1750045111.199,user1,s4
move,494.3927,406,667,0.3809,1750045111.208,user1,s4
move,681.0293,408,662,0.3809,1750045111.215,user1,s4
move,756.5671,409,656,0.3809,1750045111.224,user1,s4
move,271.3523,410,654,0.3809,1750045111.232,user1,s4
move,845.2969,412,648,0.3809,1750045111.239,user1,s4
move,395.9152,413,645,0.3809,1750045111.247,user1,s4
move,769.7048,415,639,0.3809,1750045111.255,user1,s4
move,926.5101,417,632,0.3809,1750045111.263,user1,s4
move,743.7229,419,626,0.3809,1750045111.272,user1,s4
move,700.3075,421,621,0.3809,1750045111.279,user1,s4
move,979.8771,427,606,0.3809,1750045111.296,user1,s4
move,911.819,429,599,0.3809,1750045111.304,user1,s4
move,955.315,432,592,0.3809,1750045111.312,user1,s4
move,794.1297,434,586,0.3809,1750045111.32,user1,s4
move,792.4927,436,580,0.3809,1750045111.328,user1,s4
move,804.1154,440,575,0.3809,1750045111.336,user1,s4
move,415.8245,441,572,0.3809,1750045111.343,user1,s4
move,585.5497,443,568,0.3809,1750045111.351,user1,s4
move,244.5373,443,566,0.3809,1750045111.359,user1,s4
move,452.8456,445,563,0.3809,1750045111.367,user1,s4
move,543.0031,447,559,0.3809,1750045111.375,user1,s4
move,969.6994,450,552,0.3809,1750045111.383,user1,s4
move,903.7962,453,545,0.3809,1750045111.392,user1,s4
move,905.1762,557,337,0.3809,1750045111.519,user1,s4
move,270.1797,558,335,0.3809,1750045111.528,user1,s4
move,123.8427,558,334,0.3809,1750045111.536,user1,s4
move,12.465,560,334,0.3809,1750045111.696,user1,s4
move,849.2558,582,321,0.3809,1750045111.712,user1,s4
move,514.5055,586,320,0.3809,1750045111.72,user1,s4
move,419.2418,589,319,0.3809,1750045111.727,user1,s4
move,238.6314,591,319,0.3809,1750045111.735,user1,s4
move,121.8035,592,319,0.3809,1750045111.744,user1,s4
move,0.0,592,319,0.3809,1750045111.752,user1,s4
move,21.4581,594,320,0.3809,1750045111.856,user1,s4
move,917.941,608,329,0.3809,1750045111.871,user1,s4
move,882.2076,623,335,0.3809,1750045111.887,user1,s4
move,635.0019,628,337,0.3809,1750045111.896,user1,s4
move,930.4922,643,344,0.3809,1750045111.911,user1,s4
move,952.1961,658,352,0.3809,1750045111.927,user1,s4
move,855.0824,665,354,0.3809,1750045111.935,user1,s4
move,422.2824,674,361,0.3809,1750045111.952,user1,s4
move,276.4391,676,362,0.3809,1750045111.96,user1,s4
move,502.2177,678,365,0.3809,1750045111.967,user1,s4
move,259.5188,679,367,0.3809,1750045111.975,user1,s4
move,273.2736,680,369,0.3809,1750045111.984,user1,s4
move,284.0582,682,370,0.3809,1750045111.992,user1,s4
move,280.7168,683,372,0.3809,1750045111.999,user1,s4
move,278.6319,684,374,0.3809,1750045112.008,user1,s4
move,274.4245,684,376,0.3809,1750045112.015,user1,s4
move,0.0,684,376,0.3809,1750045112.024,user1,s4
move,270.2428,684,378,0.3809,1750045112.031,user1,s4
move,0.0,684,378,0.3809,1750045112.039,user1,s4
move,382.5291,684,381,0.3809,1750045112.047,user1,s4
move,121.4403,684,382,0.3809,1750045112.056,user1,s4
move,382.0645,684,385,0.3809,1750045112.063,user1,s4
move,508.1233,684,389,0.3809,1750045112.071,user1,s4
move,250.8855,684,391,0.3809,1750045112.079,user1,s4
move,250.8255,684,393,0.3809,1750045112.087,user1,s4
move,378.1052,683,396,0.3809,1750045112.096,user1,s4
move,578.6851,681,400,0.3809,1750045112.103,user1,s4
move,531.7632,678,403,0.3809,1750045112.111,user1,s4
move,561.3496,676,407,0.3809,1750045112.119,user1,s4
move,452.3579,674,410,0.3809,1750045112.127,user1,s4
move,618.3918,671,414,0.3809,1750045112.135,user1,s4
move,522.9956,668,417,0.3809,1750045112.143,user1,s4
move,455.2311,666,420,0.3809,1750045112.151,user1,s4
move,273.9121,664,421,0.3809,1750045112.16,user1,s4
move,359.1126,662,423,0.3809,1750045112.167,user1,s4
move,265.928,661,425,0.3809,1750045112.176,user1,s4
move,385.6473,659,427,0.3809,1750045112.183,user1,s4
move,517.1055,655,428,0.3809,1750045112.191,user1,s4
move,424.9881,652,430,0.3809,1750045112.2,user1,s4
move,638.8899,647,431,0.3809,1750045112.208,user1,s4
move,911.4924,640,433,0.3809,1750045112.216,user1,s4
move,911.7101,440,414,0.3809,1750045112.319,user1,s4
move,763.6238,435,410,0.3809,1750045112.327,user1,s4
move,381.9598,432,409,0.3809,1750045112.336,user1,s4
move,125.364,431,409,0.3809,1750045112.344,user1,s4
move,177.4347,430,408,0.3809,1750045112.352,user1,s4
move,174.1067,429,407,0.3809,1750045112.36,user1,s4
move,0.0,429,407,0.3809,1750045112.375,user1,s4
move,61.4343,429,406,0.3809,1750045112.392,user1,s4
move,8.8649,428,407,0.3809,1750045112.551,user1,s4
move,437.8845,426,410,0.3809,1750045112.559,user1,s4
move,458.53,424,413,0.3809,1750045112.567,user1,s4
move,338.2648,422,415,0.3809,1750045112.576,user1,s4
move,453.2689,421,418,0.3809,1750045112.583,user1,s4
move,418.5193,419,421,0.3809,1750045112.591,user1,s4
move,381.9717,419,424,0.3809,1750045112.599,user1,s4
move,174.6964,418,425,0.3809,1750045112.607,user1,s4
move,569.3752,416,429,0.3809,1750045112.615,user1,s4
move,276.3658,415,431,0.3809,1750045112.623,user1,s4
move,284.4286,414,433,0.3809,1750045112.631,user1,s4
move,169.2579,413,434,0.3809,1750045112.639,user1,s4
move,283.9894,412,436,0.3809,1750045112.647,user1,s4
move,235.1792,412,438,0.3809,1750045112.656,user1,s4
move,280.4901,411,440,0.3809,1750045112.664,user1,s4
move,131.1212,411,441,0.3809,1750045112.671,user1,s4
move,251.5174,411,443,0.3809,1750045112.679,user1,s4
move,173.4855,410,444,0.3809,1750045112.687,user1,s4
move,125.248,410,445,0.3809,1750045112.695,user1,s4
move,172.8535,409,446,0.3809,1750045112.704,user1,s4
move,125.3715,409,447,0.3809,1750045112.712,user1,s4
move,250.3464,409,449,0.3809,1750045112.72,user1,s4
move,125.4015,409,450,0.3809,1750045112.728,user1,s4
move,133.2625,409,451,0.3809,1750045112.735,user1,s4
move,238.4821,409,453,0.3809,1750045112.743,user1,s4
move,127.3316,409,454,0.3809,1750045112.751,user1,s4
move,242.8102,409,456,0.3809,1750045112.76,user1,s4
move,127.44,409,457,0.3809,1750045112.767,user1,s4
move,382.2618,409,460,0.3809,1750045112.775,user1,s4
move,369.3903,409,463,0.3809,1750045112.783,user1,s4
move,247.9929,409,465,0.3809,1750045112.791,user1,s4
move,450.637,409,469,0.3809,1750045112.8,user1,s4
move,987.1199,565,642,0.3809,1750045112.936,user1,s4
move,642.9826,569,645,0.3809,1750045112.943,user1,s4
move,555.7961,572,648,0.3809,1750045112.951,user1,s4
move,182.0583,573,649,0.3809,1750045112.959,user1,s4
move,0.0,573,649,0.3809,1750045112.967,user1,s4
move,115.1902,573,650,0.3809,1750045112.976,user1,s4
move,127.9336,574,650,0.3809,1750045112.984,user1,s4
move,20.7619,574,651,0.3809,1750045113.032,user1,s4
move,61.9451,574,652,0.3809,1750045113.048,user1,s4
move,186.0207,575,653,0.3809,1750045113.055,user1,s4
move,127.533,575,654,0.3809,1750045113.063,user1,s4
move,130.937,575,655,0.3809,1750045113.071,user1,s4
move,109.3748,575,656,0.3809,1750045113.08,user1,s4
move,188.5755,576,657,0.3809,1750045113.088,user1,s4
move,176.4424,577,658,0.3809,1750045113.096,user1,s4
move,279.6538,578,660,0.3809,1750045113.104,user1,s4
move,279.2707,579,662,0.3809,1750045113.112,user1,s4
move,126.8464,579,663,0.3809,1750045113.119,user1,s4
move,524.0429,582,666,0.3809,1750045113.128,user1,s4
move,919.5135,586,672,0.3809,1750045113.135,user1,s4
move,516.2289,589,675,0.3809,1750045113.144,user1,s4
move,790.0111,592,681,0.3809,1750045113.152,user1,s4
move,619.7548,594,685,0.3809,1750045113.159,user1,s4
move,919.7968,604,699,0.3809,1750045113.176,user1,s4
move,711.8895,613,712,0.3809,1750045113.192,user1,s4
move,654.6644,616,716,0.3809,1750045113.199,user1,s4
move,725.4408,619,721,0.3809,1750045113.207,user1,s4
